,lien,Energie,Kilométrage,Puissance,Mise en circulation,Boite,Date Annonce,prix,Modèle,Marque,Etat du véhicule
3079,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-ds4-12504,Essence,107 Km,7 CV,2012,Manuelle,23 Déc. 2016,39500,DS4,Citroen,Très bon
3080,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-4-12501,Essence,256 Km,7 CV,12-2002,Manuelle,23 Déc. 2016,15200,Golf 4,Volkswagen,Bon
3081,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/voiture-polo-classic-sdi-12500,Diesel,294000 Km,6 CV,01-1998,Manuelle,23 Déc. 2016,9500,Polo,Volkswagen,Bon
3082,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-punto-12498,Essence,82000 Km,4 CV,2014,Manuelle,21 Déc. 2016,18500,Grande Punto ,Fiat,Très bon
3083,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c3-12497,Essence,22000 Km,4 CV,2007,Manuelle,21 Déc. 2016,15500,C3,Citroen,Très bon
3084,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/isuzu-diesel-12496,,40000 Km,,1992,,21 Déc. 2016,15500,Trooper,Isuzu,Bon
3085,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-12495,Essence,4000 Km,4 CV,2004,Manuelle,21 Déc. 2016,10900,206,Peugeot,Très bon
3086,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c4-12494,Diesel,185000 Km,5 CV,2007,Manuelle,21 Déc. 2016,18500,C4,Citroen,Très bon
3087,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/polo-sedan-12493,Essence,72000 Km,5 CV,2013,Manuelle,21 Déc. 2016,22500,Polo,Volkswagen,Très bon
3088,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fiesta-12492,Essence,115000 Km,,2010,Manuelle,21 Déc. 2016,18500,Fiesta,Ford,Très bon
3089,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c4-12491,Diesel,125000 Km,,2012,Manuelle,21 Déc. 2016,27800,C4,Citroen,Très bon
3090,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-micra-12490,Essence,87000 Km,,2013,Manuelle,21 Déc. 2016,16000,Micra,Nissan,Très bon
3091,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c5-12489,Diesel,230000 Km,,2012,Automatique,21 Déc. 2016,31000,C5,Citroen,Très bon
3092,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-12488,Essence,185000 Km,,2008,Manuelle,21 Déc. 2016,17200,Astra,Opel,Très bon
3093,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/volkswagen-polo-6-12487,Essence,87000 Km,5 CV,2006,Manuelle,21 Déc. 2016,16500,Polo 6,Volkswagen,Très bon
3094,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-figo-12486,Essence,77000 Km,,2013,Manuelle,21 Déc. 2016,14500,Figo,Ford,Très bon
3095,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c5-12485,Diesel,230000 Km,,2011,Manuelle,21 Déc. 2016,24800,C5,Citroen,Très bon
3096,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-12484,Essence,123 Km,5 CV,2012,Manuelle,21 Déc. 2016,23800,RIO,Kia,Très bon
3097,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a4-12483,Essence,195000 Km,,2006,Manuelle,21 Déc. 2016,23500,A4,Audi,Très bon
3098,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-e250-cdi-12482,Diesel,48500 Km,,2009,Manuelle,21 Déc. 2016,90000,Classe E,Mercedes,Très bon
3099,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-berlingo-12481,Diesel,105000 Km,,2012,Manuelle,21 Déc. 2016,18900,Berlingo,Citroen,Bon
3100,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-terrano-ii-12479,Diesel,227000 Km,11 CV,1997,Manuelle,21 Déc. 2016,13500,Terrano,Nissan,Bon
3101,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-deux-cent-six206-12478,Essence,114000 Km,4 CV,09-2007,Manuelle,21 Déc. 2016,15500,206,Peugeot,Excellent
3102,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-urban-line-116i-12475,Essence,119000 Km,7 CV,09-2012,Automatique,21 Déc. 2016,62000,SERIE 1 ,BMW,Excellent
3103,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-serie-129-12474,Essence,113600 Km,4 CV,10-2007,Manuelle,21 Déc. 2016,15300,206,Peugeot,Très bon
3104,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-picanto-12472,Essence,17000 Km,5 CV,2016,Automatique,20 Déc. 2016,25800,Picanto,Kia,Excellent
3105,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-navara-12471,Diesel,123 Km,,2009,Manuelle,20 Déc. 2016,38000,Navara,Nissan,Très bon
3106,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-cerato-12470,Essence,92 Km,7 CV,2010,Manuelle,20 Déc. 2016,22500,Cerato,Kia,Très bon
3107,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-partner-12469,Diesel,185000 Km,,2006,Manuelle,20 Déc. 2016,13200,Partner ,Peugeot,Très bon
3108,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c4-12468,Diesel,185000 Km,,2012,Manuelle,20 Déc. 2016,25000,C4,Citroen,Très bon
3109,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-clio-12467,Essence,230000 Km,,2004,Manuelle,20 Déc. 2016,10900,Clio,Renault,Bon
3110,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/honda-cr-v-12466,Essence,16 Km,11 CV,2015,Manuelle,20 Déc. 2016,60000,CR-V,Honda,Très bon
3111,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-serie-129-12465,Essence,113600 Km,4 CV,10-2007,Manuelle,20 Déc. 2016,15300,206,Peugeot,Excellent
3112,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-sedan-12463,Essence,77000 Km,5 CV,2013,Manuelle,19 Déc. 2016,26000,RIO,Kia,Très bon
3113,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/megane-essence-12462,Essence,185000 Km,,2006,Manuelle,19 Déc. 2016,18600,Megane,Renault,Très bon
3114,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-clio-12461,Essence,175000 Km,4 CV,2010,Manuelle,19 Déc. 2016,11000,Clio,Renault,Très bon
3115,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-symbol-12460,Essence,62000 Km,5 CV,2013,Manuelle,19 Déc. 2016,19800,Symbol,Renault,Très bon
3116,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-figo-12459,Essence,60000 Km,,2013,Manuelle,19 Déc. 2016,17700,Figo,Ford,Très bon
3117,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-12458,Essence,210 Km,5 CV,2007,Manuelle,19 Déc. 2016,19500,Astra,Opel,Bon
3118,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mini-one-12457,Essence,136 Km,5 CV,2010,Manuelle,19 Déc. 2016,33000,One,Mini,Très bon
3119,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-pop-12456,Essence,125000 Km,4 CV,2013,Manuelle,19 Déc. 2016,18500,Punto,Fiat,Très bon
3120,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-12455,Essence,145 Km,5 CV,2006,Manuelle,19 Déc. 2016,14900,206,Peugeot,Très bon
3121,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-megane-12454,Diesel,171 Km,,2010,Manuelle,19 Déc. 2016,23000,Megane,Renault,Très bon
3122,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-megane-12453,Essence,155000 Km,,2003,Manuelle,19 Déc. 2016,15000,Megane,Renault,Très bon
3123,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-partner-12452,Essence,52000 Km,,2012,Manuelle,19 Déc. 2016,26500,Partner ,Peugeot,Très bon
3124,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-palio-12451,Essence,135000 Km,,2007,Manuelle,19 Déc. 2016,12100,Palio,Fiat,Très bon
3125,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/clio-classic-12450,Essence,175000 Km,,2006,Manuelle,19 Déc. 2016,15000,Clio,Renault,Très bon
3126,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c3-12449,Essence,4000 Km,,2011,Manuelle,19 Déc. 2016,25000,C3,Citroen,Très bon
3127,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a4-12448,Essence,230000 Km,,2005,Manuelle,19 Déc. 2016,25400,A4,Audi,Très bon
3128,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/clio-bombe-12447,Essence,230000 Km,4 CV,2002,Manuelle,19 Déc. 2016,12500,Clio,Renault,Bon
3129,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-12446,Essence,67000 Km,,2013,Manuelle,19 Déc. 2016,24000,RIO,Kia,Très bon
3130,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-cerato-12445,Essence,67000 Km,,2013,Manuelle,19 Déc. 2016,34500,Cerato,Kia,Très bon
3131,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fiesta-12444,Essence,62000 Km,5 CV,2012,Manuelle,19 Déc. 2016,22500,Fiesta,Ford,Très bon
3132,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/punto-3-12443,Essence,125000 Km,,2008,Manuelle,19 Déc. 2016,14200,Punto,Fiat,Très bon
3133,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/jetta-canadienne-12441,Diesel,270000 Km,,2002,Manuelle,19 Déc. 2016,16000,Jetta,Volkswagen,Bon
3134,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-benz-c-12440,Essence,155000 Km,,2002,Manuelle,19 Déc. 2016,21000,Classe C,Mercedes,Très bon
3135,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-evo-12439,Essence,55000 Km,,2012,Manuelle,19 Déc. 2016,22500,Punto Evo,Fiat,Très bon
3136,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-12438,Essence,125000 Km,6 CV,2008,Manuelle,19 Déc. 2016,13800,206 sedan,Peugeot,Bon
3137,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/jeep-grand-cherokee-12437,Essence,270000 Km,,2000,Manuelle,19 Déc. 2016,24000,Grand cherokee,Jeep,Bon
3138,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-grande-punto-12436,Essence,72000 Km,4 CV,2013,Manuelle,19 Déc. 2016,18500,Grande Punto ,Fiat,Très bon
3139,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-a180-12435,Essence,62 Km,6 CV,2013,Automatique,19 Déc. 2016,75000,Classe A,Mercedes,Très bon
3140,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/suzuki-jimny-12434,Essence,85 Km,6 CV,2002,Manuelle,19 Déc. 2016,24000,Jimny,Suzuki,Très bon
3141,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-focus-12433,Essence,92000 Km,,2010,Manuelle,19 Déc. 2016,21800,Focus,Ford,Très bon
3142,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-berlingo-12432,Diesel,92000 Km,,2012,Manuelle,18 Déc. 2016,20000,Berlingo,Citroen,Très bon
3143,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-rcz-12431,Essence,90 Km,9 CV,2011,Manuelle,18 Déc. 2016,42500,RCZ,Peugeot,Très bon
3144,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-bipper-12430,Diesel,120000 Km,4 CV,2012,Manuelle,18 Déc. 2016,13900,Bipper Tepee,Peugeot,Très bon
3145,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-3-12429,Diesel,145000 Km,,1995,Manuelle,18 Déc. 2016,9600,Golf 3,Volkswagen,Très bon
3146,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-clio-12428,Essence,175000 Km,4 CV,2000,Manuelle,18 Déc. 2016,11000,Clio,Renault,Très bon
3147,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/polo-4-12427,Essence,195000 Km,4 CV,2002,Manuelle,18 Déc. 2016,11400,Polo 4,Volkswagen,Bon
