,lien,Energie,Kilométrage,Puissance,Mise en circulation,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix
777,www.affare.tn,Essence,40347,8.0,2017-10-10,2017.0,09/06/21,9.0,automne,Automatique,Medenine, mercedes,Mercedes,,148000.0
778,www.affare.tn,Essence,190000,6.0,2016-04-20,2016.0,09/06/21,9.0,automne,Manuelle,Ben arous, ford,Ford,,40000.0
779,www.affare.tn,Essence,136000,6.0,2015-08-20,2015.0,09/06/21,9.0,automne,Manuelle,Tunis, seat,Seat,,39000.0
780,www.affare.tn,Diesel,6 ,,,1994.0,,,,,, express,,,
781,www.affare.tn,Essence,126000,4.0,2009-11-21,2010.0,09/06/21,9.0,automne,Manuelle,Tunis, 206,Peugeot,,22500.0
782,www.affare.tn,Diesel,67000,5.0,2021-09-05,2019.0,09/06/21,9.0,automne,Manuelle,Gafsa, peugeot,Peugeot,,1.0
783,www.affare.tn,Essence,98889,5.0,2021-09-05,2016.0,09/06/21,9.0,automne,Manuelle,Sfax, mazda,Mazda,,36000.0
784,www.affare.tn,Essence,160,5.0,2010-11-10,2010.0,09/05/21,9.0,automne,Manuelle,Ariana, clio,Renault,,27000.0
785,www.affare.tn,Essence,170,5.0,2017-08-28,2017.0,09/05/21,9.0,automne,Manuelle,Tunis, 301,Peugeot,,21000.0
786,www.affare.tn,Diesel,220,6.0,2019-02-10,2019.0,09/05/21,9.0,automne,Manuelle,Tunis, a,,,26500.0
787,www.affare.tn,Essence,52000,,2018-01-04,2018.0,09/05/21,9.0,automne,Automatique,Tunis, vente,,,75000.0
788,www.affare.tn,Essence,143000,,2021-09-05,2013.0,09/05/21,9.0,automne,Automatique,Medenine, 508,,,35000.0
789,www.affare.tn,Diesel,239000,6.0,2012-01-11,2012.0,09/05/21,9.0,automne,Automatique,Sousse, citroen,Citroen,,38000.0
790,www.affare.tn,Diesel,330000,10.0,2005-07-16,2005.0,09/05/21,9.0,automne,Manuelle,Bizerte, mazda,Mazda,,30000.0
791,www.affare.tn,Essence,200000,5.0,2021-07-21,2001.0,09/05/21,9.0,automne,Manuelle,Gabes, fiat,Fiat,,12500.0
792,www.affare.tn,Diesel,96000,120.0,2018-09-04,2018.0,09/04/21,9.0,automne,Automatique,Sidi Bouzid, ford,Ford,,75000.0
793,www.affare.tn,Essence,103,,2011-02-04,2011.0,09/04/21,9.0,automne,,Ben arous, voiture,,,24500.0
794,www.affare.tn,Essence,69000,,Aymen Gharbi1 annonces en ligne >,2017.0,,,,,, dacia,Dacia,,
795,www.affare.tn,Diesel,222000,5.0,2009-01-09,2009.0,09/04/21,9.0,automne,Manuelle,Tunis, megane,Renault,,25.0
